Year,Cancer,Factor,0.4,5.9,10.14,15.19,20.24,25.29,30.34,35.39,40.44,45.49,50.54,55.59,60.64,65.69,70.74,75.79,80 and over,Total
2010,Cervical,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Female,0,0,0,0,2,2,5,3,6,8,3,4,1,3,0,0,0,37
NA,NA,Total,0,0,0,0,2,2,5,3,6,8,3,4,1,3,0,0,0,37
2010,Colorectal,Male,0,0,0,0,0,0,2,2,2,5,10,8,11,19,7,4,5,75
NA,NA,Female,0,0,0,0,0,0,1,3,2,7,11,6,11,9,10,4,16,80
NA,NA,Total,0,0,0,0,0,0,3,5,4,12,21,14,22,28,17,8,21,155
2010,Female Breast,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Female,0,0,0,0,1,3,11,11,38,69,65,50,50,34,25,6,13,376
NA,NA,Total,0,0,0,0,1,3,11,11,38,69,65,50,50,34,25,6,13,376
2010,Leukaemia,Male,3,1,5,1,2,0,0,1,2,2,4,2,7,1,3,3,3,40
NA,NA,Female,1,1,0,1,0,0,1,2,0,2,1,2,3,4,3,0,3,24
NA,NA,Total,4,2,5,2,2,0,1,3,2,4,5,4,10,5,6,3,6,64
2010,Melanoma,Male,0,0,0,0,0,0,0,2,4,2,0,0,5,1,0,1,0,15
NA,NA,Female,0,0,0,1,0,1,1,1,2,2,0,2,0,1,3,1,2,17
NA,NA,Total,0,0,0,1,0,1,1,3,6,4,0,2,5,2,3,2,2,32
2010,Prostate,Male,0,0,0,0,0,0,0,1,0,4,10,25,29,38,33,17,12,169
NA,NA,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Total,0,0,0,0,0,0,0,1,0,4,10,25,29,38,33,17,12,169
2010,Lung,Male,0,0,0,0,0,1,0,0,4,12,16,30,31,16,27,20,2,159
NA,NA,Female,0,0,0,0,0,0,1,2,4,10,15,30,43,40,24,25,13,207
NA,NA,Total,0,0,0,0,0,1,1,2,8,22,31,60,74,56,51,45,15,366
2010,Hodgkin Lymphoma,Male,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4
NA,NA,Female,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,4
NA,NA,Total,1,0,0,0,2,1,0,1,1,1,0,0,1,0,0,0,0,8
2010,Non-Hodgkin Lymphoma,Male,1,0,1,1,0,0,1,1,1,2,0,8,5,5,2,4,0,32
NA,NA,Female,0,0,0,0,0,1,0,0,0,3,1,3,4,3,4,1,1,21
NA,NA,Total,1,0,1,1,0,1,1,1,1,5,1,11,9,8,6,5,1,53
2010,Myeloproliferate & Myelodysplastic,Male,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4
NA,NA,Female,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,1,7
NA,NA,Total,0,0,0,0,1,0,0,0,1,0,1,0,2,1,2,2,1,11
2011,Cervical,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Female,0,0,0,0,2,2,3,8,2,4,3,5,2,3,1,0,1,36
NA,NA,Total,0,0,0,0,2,2,3,8,2,4,3,5,2,3,1,0,1,36
2011,Colorectal,Male,0,0,0,0,0,1,2,1,3,3,11,11,9,14,11,11,4,81
NA,NA,Female,0,0,0,0,0,0,1,0,2,4,6,8,14,10,11,10,12,78
NA,NA,Total,0,0,0,0,0,1,3,1,5,7,17,19,23,24,22,21,16,159
2011,Female Breast,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Female,0,0,0,0,0,2,11,20,33,59,54,69,40,26,7,15,14,350
NA,NA,Total,0,0,0,0,0,2,11,20,33,59,54,69,40,26,7,15,14,350
2011,Leukaemia,Male,3,0,3,2,1,0,2,1,1,0,5,2,3,5,0,1,2,31
NA,NA,Female,1,1,0,1,3,0,2,1,0,1,3,2,4,4,2,1,2,28
NA,NA,Total,4,1,3,3,4,0,4,2,1,1,8,4,7,9,2,2,4,59
2011,Melanoma,Male,0,0,0,0,0,1,0,1,0,1,2,3,0,2,3,1,2,16
NA,NA,Female,0,0,0,0,1,0,0,1,0,1,2,3,2,0,0,3,1,14
NA,NA,Total,0,0,0,0,1,1,0,2,0,2,4,6,2,2,3,4,3,30
2011,Prostate,Male,0,0,0,0,0,0,0,0,0,3,7,22,39,43,30,11,13,168
NA,NA,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Total,0,0,0,0,0,0,0,0,0,3,7,22,39,43,30,11,13,168
2011,Lung,Male,0,0,0,0,0,0,0,1,3,4,15,28,25,25,31,18,13,163
NA,NA,Female,0,0,0,0,0,0,2,1,1,6,31,20,47,44,41,27,17,237
NA,NA,Total,0,0,0,0,0,0,2,2,4,10,46,48,72,69,72,45,30,400
2011,Hodgkin Lymphoma,Male,0,0,1,0,1,0,0,0,2,0,1,0,1,0,0,0,0,6
NA,NA,Female,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,7
NA,NA,Total,0,0,1,0,2,2,0,0,3,0,1,2,1,0,1,0,0,13
2011,Non-Hodgkin Lymphoma,Male,0,0,0,1,1,0,0,1,3,5,4,2,2,4,4,5,3,35
NA,NA,Female,0,0,0,1,1,1,1,0,0,0,4,5,1,4,3,4,1,26
NA,NA,Total,0,0,0,2,2,1,1,1,3,5,8,7,3,8,7,9,4,61
2011,Myeloproliferate & Myelodysplastic,Male,1,0,0,0,0,0,0,0,1,0,0,2,2,0,3,3,1,13
NA,NA,Female,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,5
NA,NA,Total,1,0,0,0,0,0,0,0,1,0,1,2,2,1,4,3,3,18
2012,Cervical,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Female,0,0,0,0,1,1,3,7,9,7,4,4,3,1,0,0,0,40
NA,NA,Total,0,0,0,0,1,1,3,7,9,7,4,4,3,1,0,0,0,40
2012,Colorectal,Male,0,0,0,0,1,2,1,3,1,4,6,9,16,11,12,8,12,86
NA,NA,Female,0,0,0,0,0,0,2,2,4,2,13,7,9,12,11,3,11,76
NA,NA,Total,0,0,0,0,1,2,3,5,5,6,19,16,25,23,23,11,23,162
2012,Female Breast,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Female,0,0,0,0,0,0,8,18,32,71,52,52,44,35,17,14,8,351
NA,NA,Total,0,0,0,0,0,0,8,18,32,71,52,52,44,35,17,14,8,351
2012,Leukaemia,Male,8,1,1,1,0,1,2,3,1,0,3,4,8,4,4,6,2,49
NA,NA,Female,3,2,0,2,1,0,0,0,0,2,0,1,1,4,1,2,3,22
NA,NA,Total,11,3,1,3,1,1,2,3,1,2,3,5,9,8,5,8,5,71
2012,Melanoma,Male,0,0,0,0,0,0,0,1,2,1,1,2,1,2,2,0,1,13
NA,NA,Female,0,0,0,0,2,0,1,0,1,3,4,3,3,1,2,2,2,24
NA,NA,Total,0,0,0,0,2,0,1,1,3,4,5,5,4,3,4,2,3,37
2012,Prostate,Male,0,0,0,0,0,0,0,0,1,5,17,30,22,41,35,19,11,181
NA,NA,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,Total,0,0,0,0,0,0,0,0,1,5,17,30,22,41,35,19,11,181
2012,Lung,Male,0,0,0,0,0,0,0,1,3,4,13,22,31,35,32,19,10,170
NA,NA,Female,0,0,0,0,1,1,1,0,3,11,14,26,50,44,44,20,15,230
NA,NA,Total,0,0,0,0,1,1,1,1,6,15,27,48,81,79,76,39,25,400
2012,Hodgkin Lymphoma,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
NA,NA,Female,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,6
NA,NA,Total,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,7
2012,Non-Hodgkin Lymphoma,Male,1,0,0,2,0,0,1,2,2,1,5,1,3,4,2,3,2,29
NA,NA,Female,0,0,0,0,1,0,0,3,1,1,4,5,5,5,1,2,2,30
NA,NA,Total,1,0,0,2,1,0,1,5,3,2,9,6,8,9,3,5,4,59
2012,Myeloproliferate & Myelodysplastic,Male,0,0,0,1,0,1,0,0,0,1,1,1,1,3,5,1,1,16
NA,NA,Female,0,0,1,0,0,0,0,0,0,1,2,0,0,1,2,1,2,10
NA,NA,Total,0,0,1,1,0,1,0,0,0,2,3,1,1,4,7,2,3,26
